Name,Age,Address
David,38.0,Madrid
Emma,,New York
Sophia,28.0,
Alice,28.0,Toronto
James,57.0,Moscow
John,,Tokyo
John,43.0,
Mike,32.0,Tokyo
Mike,,Tokyo
Olivia,43.0,Sydney
John,53.0,Paris
John,36.0,London
Sophia,48.0,Sydney
Eve,39.0,Paris
Eve,44.0,Rome
David,,Paris
Alice,59.0,Moscow
Emma,40.0,Toronto
James,,Paris
John,45.0,London
Laura,45.0,Paris
Laura,,Rome
Eve,,Paris
John,,Paris
Alice,56.0,Berlin
Mike,20.0,New York
Laura,44.0,Rome
James,54.0,London
Sophia,22.0,Tokyo
James,49.0,Madrid
Emma,34.0,Sydney
David,43.0,Berlin
Eve,,
Sophia,60.0,Toronto
Sophia,58.0,Moscow
Bob,21.0,
James,60.0,London
Emma,24.0,Rome
Mike,32.0,Paris
James,21.0,Paris
John,22.0,Madrid
Eve,56.0,Sydney
Bob,,Paris
Bob,43.0,Paris
Bob,,New York
John,55.0,London
Eve,,Rome
Sophia,42.0,Toronto
Bob,38.0,London
David,36.0,Moscow
Mike,,Paris
David,,Paris
John,,
Emma,43.0,
John,27.0,New York
Bob,,Madrid
Alice,53.0,New York
Emma,,Paris
Sophia,51.0,Rome
Sophia,43.0,Toronto
Mike,59.0,London
James,35.0,Paris
Laura,30.0,New York
Olivia,46.0,Berlin
Sophia,,Berlin
Sophia,37.0,Tokyo
Laura,39.0,London
Olivia,58.0,Toronto
Laura,44.0,Sydney
Eve,57.0,Sydney
Laura,36.0,Paris
Olivia,,Madrid
John,,
Eve,,
Bob,23.0,Madrid
Mike,28.0,Rome
David,56.0,Tokyo
James,51.0,London
David,37.0,Rome
Eve,54.0,New York
Eve,33.0,Moscow
Olivia,59.0,Berlin
Olivia,40.0,
Eve,56.0,Toronto
Eve,45.0,Rome
Bob,45.0,London
Laura,53.0,Madrid
Laura,45.0,London
Alice,32.0,London
Sophia,44.0,Madrid
Mike,46.0,Tokyo
Sophia,58.0,Sydney
James,36.0,Tokyo
Eve,,Madrid
Eve,47.0,Paris
Sophia,,Tokyo
Sophia,51.0,Tokyo
John,,Sydney
David,55.0,Berlin
Eve,35.0,Rome
Alice,52.0,
Emma,44.0,Moscow
Olivia,52.0,Tokyo
Emma,,
Sophia,39.0,Toronto
John,30.0,Tokyo
Olivia,32.0,Sydney
Olivia,58.0,Sydney
Olivia,57.0,New York
Bob,47.0,Madrid
James,48.0,Madrid
Alice,50.0,New York
Sophia,,Tokyo
Bob,22.0,Berlin
Laura,43.0,Rome
Emma,,Moscow
Eve,49.0,New York
Alice,58.0,Madrid
Bob,51.0,Toronto
Sophia,23.0,Rome
David,25.0,New York
Emma,,Tokyo
Laura,32.0,Rome
Sophia,44.0,Toronto
Olivia,47.0,New York
James,38.0,Tokyo
Sophia,41.0,Rome
Mike,51.0,New York
Laura,55.0,Berlin
Eve,47.0,Tokyo
Bob,,New York
Eve,,Moscow
John,,Rome
Olivia,29.0,Berlin
David,48.0,New York
Eve,,Sydney
James,51.0,Paris
Bob,36.0,Berlin
Alice,30.0,London
Mike,35.0,Berlin
Olivia,21.0,Madrid
David,45.0,Madrid
Bob,34.0,Sydney
Mike,26.0,Moscow
Laura,42.0,
Sophia,26.0,Rome
Olivia,,Sydney
Bob,59.0,Rome
Alice,,Paris
Emma,,Rome
Mike,36.0,Sydney
John,,Berlin
David,,Toronto
Alice,55.0,London
Sophia,,New York
Emma,40.0,New York
Sophia,43.0,Rome
Laura,54.0,Berlin
Bob,46.0,New York
David,58.0,Tokyo
Bob,57.0,New York
Laura,21.0,Berlin
Sophia,38.0,Sydney
Sophia,30.0,Toronto
Emma,,Berlin
Sophia,,Paris
John,26.0,Madrid
James,60.0,
James,40.0,London
Alice,20.0,Berlin
Sophia,24.0,Sydney
Sophia,23.0,Paris
Bob,,New York
Bob,23.0,Madrid
James,32.0,Rome
Eve,38.0,Paris
Eve,47.0,Paris
Sophia,,
Olivia,38.0,Rome
Eve,53.0,Toronto
Alice,,Sydney
Mike,,Rome
Laura,22.0,Toronto
Sophia,,Sydney
Olivia,40.0,
Sophia,30.0,Paris
Bob,34.0,Moscow
Mike,51.0,London
Bob,,Tokyo
Mike,53.0,New York
Emma,44.0,Berlin
David,51.0,
Bob,44.0,Moscow
Emma,32.0,New York
Alice,,Paris
Emma,35.0,Toronto
Emma,48.0,Tokyo
James,59.0,London
Eve,,Paris
Olivia,45.0,Madrid
John,33.0,Paris
Olivia,48.0,Sydney
Eve,51.0,Berlin
Olivia,,Paris
David,,Rome
Olivia,54.0,Berlin
Bob,43.0,Sydney
David,,Madrid
John,44.0,Berlin
Sophia,39.0,
Alice,,Rome
Eve,45.0,London
Olivia,47.0,Berlin
Alice,53.0,Madrid
Mike,38.0,
David,28.0,Moscow
Laura,33.0,New York
James,35.0,
James,46.0,
Alice,36.0,Rome
Mike,21.0,Paris
David,46.0,Paris
Emma,30.0,Sydney
Sophia,32.0,Toronto
Bob,24.0,
Mike,34.0,Madrid
Olivia,,London
Mike,,Berlin
Emma,,Rome
Mike,45.0,Rome
Bob,25.0,New York
Sophia,41.0,
James,35.0,Sydney
James,33.0,Rome
Mike,33.0,New York
Olivia,43.0,Tokyo
Laura,38.0,Toronto
James,30.0,Rome
Olivia,,Berlin
James,32.0,Paris
Laura,,Toronto
Bob,49.0,
David,27.0,Moscow
Mike,,Tokyo
Sophia,59.0,New York
Eve,47.0,Rome
Alice,44.0,Moscow
Olivia,22.0,Paris
Eve,43.0,Sydney
